id,type
LGALS3,protein
A2M,protein
ELANE,protein
IL6,cytokine
PDGFB,protein
PITX3,protein
ISG15,protein
AEN,protein
BHLHE40,protein
NOD2,protein
VPS52,protein
MDFI,protein
AARS,protein
MDM2,protein
AATF,protein
APOA1,protein
EGR1,protein
ERBB2IP,protein
ABCB1,protein
CARM1,protein
CYTH3,protein
NCOA1,protein
NCOR1,protein
NCOR2,protein
NR0B2,protein
NR1H4,protein
PPARGC1A,protein
MYC,protein
TOLLIP,protein
NOTCH1,protein
TMEM173,protein
UNC93B1,protein
ABCC12,protein
IRF3,protein
ABCC2,protein
ABCC6,protein
RNF2,protein
APP,protein
EED,protein
ABCG2,protein
ABHD14A,protein
ABHD2,protein
AES,protein
ACTN3,protein
BTK,protein
ABL1,protein
GRAP,protein
GRB2,protein
MAVS,protein
MTOR,protein
PLCG1,protein
TP53,protein
BCL6,protein
LDOC1,protein
SUZ12,protein
ABLIM2,protein
GRAMD3,protein
TMEM79,protein
ABR,protein
IKBKAP,protein
ACACA,protein
TBKBP1,protein
ADRB2,protein
ACAN,protein
AKT1,protein
ACAP1,protein
NOD1,protein
SLC2A4,protein
LNX1,protein
HIF1A,protein
AGT,protein
LYL1,protein
ACHE,protein
SMAD4,protein
COMMD3-BMI1,protein
CCL2,cytokine
ACKR1,protein
CXCL1,cytokine
CXCL8,cytokine
PF4,protein
ACKR2,protein
CCL14,cytokine
CCL3,cytokine
CCL4,cytokine
CCL5,cytokine
NFKB1,protein
YY1,protein
CCL13,cytokine
ACKR4,protein
CCL25,cytokine
CCL7,cytokine
CCL8,cytokine
ACO1,protein
CDK2,protein
ACSL3,protein
ACSL4,protein
FSCN1,protein
ACTA2,protein
ACTG1,protein
ATF3,protein
CAP2,protein
CFL1,protein
CFL2,protein
CLEC9A,protein
DSTN,protein
EHHADH,protein
ACTB,protein
SMARCA4,protein
WDYHV1,protein
CCDC22,protein
EZH2,protein
IL7R,receptor
LGALS13,protein
TSGA10,protein
ACTL6A,protein
ING3,protein
KAT5,protein
MORF4L1,protein
LMNA,protein
EPM2AIP1,protein
ACTN1,protein
KCTD6,protein
MICALL2,protein
MYOZ2,protein
OAS1,protein
SPERT,protein
BRMS1L,protein
FAM154A,protein
MOS,protein
NOS3,protein
PDLIM3,protein
SNAI1,protein
SP100,protein
REL,protein
TRAF1,protein
TRAF2,protein
BMP7,protein
WAS,protein
ACTR3B,protein
SQSTM1,protein
ACVR1B,protein
ACVR2B,protein
SMAD7,protein
SMURF1,protein
ZFYVE16,protein
BMP2,protein
ACVRL1,protein
TGFBR2,protein
ASPA,protein
ACYP2,protein
ADA,protein
MIR155,protein
MAPK1,protein
NCK1,protein
PTK6,protein
SH3PXD2A,protein
SRC,protein
ADAM17,protein
MAPK3,protein
ADAM23,protein
ADAM8,protein
SELPLG,protein
ADAMTS10,protein
VWF,protein
SERPINA1,protein
SERPINA3,protein
ADAMTS6,protein
ADAMTS9,protein
MMP10,protein
ADAP1,protein
PRKD1,protein
IKBKG,protein
STAT1,protein
STAT2,protein
ADAT1,protein
IRAK1,protein
IRAK2,protein
ADD1,protein
YWHAE,protein
ADH5,protein
ADH6,protein
C1QA,protein
SRPK1,protein
ADPRH,protein
ADRA1D,protein
ADRA2A,protein
SNTA1,protein
EIF2B1,protein
ADRA2C,protein
ADRB1,protein
GPRASP1,protein
CFTR,protein
OPRD1,protein
SEC22B,protein
SLC9A3R1,protein
SNX1,protein
ADRB3,protein
ADSS,protein
AFAP1,protein
AFF1,protein
AP2B1,protein
AFG3L1P,protein
AFP,protein
HMGB1,protein
AGER,protein
CIRBP,protein
S100A4,protein
AGO1,protein
MEX3B,protein
MEX3C,protein
AGO2,protein
DHX58,protein
RBM4,protein
TBK1,protein
PHF11,protein
REN,protein
STAT3,protein
ARRB2,protein
AGTR1,protein
RAF1,protein
ARAF,protein
AGXT2,protein
AHCY,protein
BID,protein
AHR,protein
LY96,protein
AHSG,protein
AICDA,protein
MIR93,protein
AIDA,protein
AIG1,protein
IRF1,protein
POPDC3,protein
PRDM1,protein
PYCARD,protein
AIMP1,protein
BYSL,protein
AIMP2,protein
IRF7,protein
CTNNB1,protein
AJUBA,protein
AKAP13,protein
CREB1,protein
AKAP5,protein
AKAP8,protein
AKAP9,protein
CD40,receptor
AKNA,protein
NFAT5,protein
CARHSP1,protein
CDKN1B,protein
CSDC2,protein
CTNND2,protein
GRB10,protein
HSP90AA1,protein
HTT,protein
ITGB1,protein
NCF1,protein
PHLPP1,protein
RICTOR,protein
SMARCB1,protein
TERT,protein
TSC2,protein
AKT1S1,protein
YWHAZ,protein
APPL1,protein
CASP3,protein
AKT2,protein
CLIP3,protein
KHSRP,protein
MYO5A,protein
PHLPP2,protein
SH3RF1,protein
TCL1A,protein
ZFP36L1,protein
PLEKHO1,protein
PPP2CA,protein
PRKCZ,protein
ALAS1,protein
ALAS2,protein
ALB,protein
EGFR,protein
ALCAM,protein
ALDH3B1,protein
ALDOA,protein
ALK,protein
ALKBH1,protein
MBD1,protein
ALOX12,protein
ALOX15,protein
ALOX5AP,protein
APEX1,protein
ALOX5,protein
COTL1,protein
HSD17B4,protein
IKZF3,protein
NLRP10,protein
ZNF433,protein
CEBPE,protein
ALPI,protein
MAP3K14,protein
TRAF3,protein
IL1B,protein
ALPP,protein
ALS2,protein
ALS2CR11,protein
ALX1,protein
ALYREF,protein
AMBP,protein
AMBRA1,protein
CUL4A,protein
NEDD8,protein
PIK3C3,protein
AMIGO2,protein
USP11,protein
AMPD2,protein
AMPH,protein
RELB,protein
ANGPT2,protein
CEBPD,protein
ANK2,protein
EIF4E,protein
ANKRD28,protein
TRIM23,protein
ANKRD7,protein
ANO6,protein
ANP32A,protein
ANP32D,protein
ANXA1,protein
RELA,protein
RIPK1,protein
ANXA11,protein
ANXA2,protein
NDUFAF1,protein
ANXA4,protein
ANXA5,protein
IFNGR2,cytokine
ANXA6,protein
AP1B1,protein
AP2M1,protein
IFNAR1,cytokine
AP3B1,protein
IRF2,protein
APAF1,protein
APBA2,protein
AZI2,protein
TANK,protein
LCP2,protein
APC,protein
CTBP1,protein
LEF1,protein
FCAR,protein
MBL2,protein
APEH,protein
CXCR1,receptor
APOA2,protein
APOB,protein
APOBEC3F,protein
NFATC1,protein
MOV10,protein
APOD,protein
LGALS9,protein
APOL2,protein
APOL4,protein
HIST1H2BM,protein
HIST2H2AA4,protein
LHX4-AS1,protein
MLLT6,protein
NEFL,protein
RASL10B,protein
RBM8A,protein
ZNF2,protein
CUL3,protein
FSHR,protein
AQP1,protein
AQP3,protein
AQP5,protein
AQP9,protein
EP300,protein
AR,protein
FOLH1,protein
GATA3,protein
GATA4,protein
KLK3,protein
NPAS2,protein
PAX5,protein
PIAS2,protein
PIK3R1,protein
TCF3,protein
TGFB1,protein
UBE2I,protein
HRAS,protein
TIRAP,protein
AREG,protein
ARHGAP21,protein
PLA2G6,protein
ARF4,protein
ARF6,protein
ERAP1,protein
NUCB2,protein
TNFRSF1A,receptor
FLOT1,protein
ARG2,protein
SRPK2,protein
ARHGAP19,protein
CACNA1A,protein
ARHGAP24,protein
GABARAP,protein
GABARAPL1,protein
CASP1,protein
ARHGDIA,protein
CDC42,protein
GZMB,protein
RAC1,protein
RAC2,protein
RHOA,protein
RHOB,protein
RHOG,protein
RHOH,protein
CARD9,protein
ARHGDIG,protein
ARHGEF1,protein
ARHGEF10,protein
ARHGEF2,protein
PAK2,protein
ARHGEF7,protein
CDH1,protein
ARID1A,protein
ARL2,protein
ARL4A,protein
ARL4D,protein
ARL5A,protein
ARL5B,protein
ARNT,protein
HIF3A,protein
ARNTL,protein
CXCR2,receptor
ARPC5,protein
ARR3,protein
ARRB1,protein
CLTC,protein
IKBKB,protein
MAP2K3,protein
NFKBIA,protein
STAM,protein
TRAF6,protein
MAP2K4,protein
TIGIT,protein
ARSA,protein
ART1,protein
ART4,protein
ARVCF,protein
ASAH2,protein
ASAP2,protein
KMT2A,protein
CUL5,protein
ASB2,protein
ASB6,protein
KDM4A,protein
NME1-NME2,protein
POLR3G,protein
ASL,protein
ASNA1,protein
ASNS,protein
ATF4,protein
ASPHD2,protein
ATAD2,protein
ATAD3A,protein
SMAD2,protein
ATAD3B,protein
CIITA,protein
ATF1,protein
FOS,protein
ATF2,protein
CREBBP,protein
IFNB1,cytokine
IFNG,cytokine
IRF2BP1,protein
JDP2,protein
MAPK10,protein
MAPK11,protein
MAPK8,protein
MAPK9,protein
NCOA6,protein
PLA2G4C,protein
RPS6KA5,protein
SMAD3,protein
ELAVL1,protein
HNRNPD,protein
MMP1,protein
ATF6,protein
ATF7,protein
ATG10,protein
ATG101,protein
ATG16L1,protein
ATG3,protein
ATG12,protein
ATG7,protein
TECPR1,protein
WDFY3,protein
ATG13,protein
RB1CC1,protein
ULK2,protein
ATG14,protein
TUFM,protein
ATG16L2,protein
GABARAPL2,protein
MAP1LC3A,protein
MAP1LC3B,protein
ATG4D,protein
BCL2L1,protein
CAPN1,protein
ATG5,protein
COX5B,protein
DDIT3,protein
DDX58,protein
FADD,protein
IFIH1,protein
PPHLN1,protein
BRCA1,protein
ATM,protein
CHEK2,protein
E4F1,protein
EIF4EBP1,protein
ESPL1,protein
LIG4,protein
MRE11A,protein
NBN,protein
RAD17,protein
RASSF1,protein
RBBP8,protein
RHEB,protein
TELO2,protein
WRN,protein
ATOX1,protein
TPT1,protein
RS1,protein
ATP1B1,protein
ATP1B2,protein
ATP2B2,protein
ATP4B,protein
ATP5A1,protein
ATPAF2,protein
ATP5B,protein
ATP5G1,protein
ATP6V0C,protein
ATP6V1B2,protein
SET,protein
NEK1,protein
MYD88,protein
CEP72,protein
ATXN7,protein
ZNF239,protein
AXIN1,protein
AXL,protein
PIK3R2,protein
TENC1,protein
CALCOCO2,protein
TICAM1,protein
TRIM38,protein
AZU1,protein
B2M,protein
B4GALT1,protein
ZFP36,protein
BAALC,protein
BAAT,protein
BABAM1,protein
NFATC4,protein
BCL2,protein
BAD,protein
HSPA4,protein
BAG1,protein
KCNH2,protein
SP1,protein
BAG6,protein
STARD13,protein
BAK1,protein
VDAC2,protein
BANK1,protein
FOXK1,protein
BAP1,protein
BARD1,protein
BRCC3,protein
UBB,protein
BATF,protein
TBX21,protein
BATF2,protein
BCL2A1,protein
BAX,protein
EPAS1,protein
PPP1CA,protein
RUNX1,protein
BAZ2A,protein
BBC3,protein
BBS2,protein
BBS4,protein
ITGAM,protein
BCAR1,protein
CRK,protein
BCKDK,protein
BCL3,protein
CARD10,protein
CARD11,protein
BCL10,protein
MALT1,protein
MAP2K7,protein
MAP3K7,protein
UBE2N,protein
UBE2V2,protein
BCL11B,protein
MBD3,protein
BIK,protein
KLF4,protein
BECN1,protein
DYNLL1,protein
BCL2L11,protein
BCL2L14,protein
BCL2L2,protein
CABIN1,protein
CCL11,cytokine
ELL2,protein
FCER2,protein
IFNAR2,cytokine
IL3RA,receptor
IRF4,protein
IRF8,protein
MEF2BNB-MEF2B,protein
MTA2,protein
OR8H1,protein
PGM2L1,protein
PTPN6,protein
RAB30,protein
STAMBP,protein
STAT5A,protein
TLR1,receptor
TLR7,receptor
TNFRSF10B,receptor
BCOR,protein
BCR,protein
E2F4,protein
ITPR1,protein
RB1,protein
RBL2,protein
BEGAIN,protein
BET1,protein
BFSP1,protein
CMA1,protein
BGN,protein
BICD1,protein
FHL2,protein
BIN1,protein
BIRC2,protein
CCNA2,protein
CCNE1,protein
DIABLO,protein
FBXO7,protein
GSPT1,protein
HTRA2,protein
LTBR,protein
MAP4K4,protein
MXD1,protein
RIPK2,protein
SH3KBP1,protein
TNF,cytokine
TNFSF14,protein
UBE2D3,protein
UBE2E1,protein
UBE2L3,protein
XAF1,protein
BIRC3,protein
CASP8,protein
COMMD1,protein
E2F1,protein
HDAC3,protein
TBL1XR1,protein
UBE2D2,protein
BIRC5,protein
BIRC6,protein
TAB1,protein
BLK,protein
BLM,protein
BLMH,protein
BLVRA,protein
BMF,protein
BMP4,protein
BMP6,protein
BMPR2,protein
BMPR1A,protein
BMPR1B,protein
CD44,receptor
GDF5,protein
TRIB3,protein
BMS1,protein
BMX,protein
IRF6,protein
BNIP2,protein
BNIP3,protein
TMEM11,protein
BNIP3L,protein
BOP1,protein
KSR1,protein
MAP2K1,protein
BRAF,protein
LGALS2,protein
BRAP,protein
BRE,protein
BRD7,protein
BRD2,protein
BRD4,protein
HIST1H2AH,protein
HIST1H3D,protein
HIST4H4,protein
BRD8,protein
BRF1,protein
BRF2,protein
BRIP1,protein
HSF1,protein
BRS3,protein
PPARA,protein
TFAP2A,protein
BST2,protein
BTBD10,protein
BTBD3,protein
BTC,protein
BTF3,protein
BTG1,protein
PRKCB,protein
TLR6,receptor
TLR8,receptor
BTLA,protein
BTN3A1,protein
BTN3A3,protein
CUL1,protein
BTRC,protein
GLI3,protein
PER1,protein
REST,protein
RNF7,protein
SKP1,protein
TP63,protein
BUB1,protein
BUD31,protein
C11orf57,protein
C12orf43,protein
CCL18,cytokine
C18orf54,protein
C19orf25,protein
COPS4,protein
C19orf80,protein
C1GALT1,protein
PTX3,protein
C1QBP,protein
SCARF1,protein
C1S,protein
C1orf192,protein
C2,protein
MASP1,protein
MASP2,protein
C21orf91,protein
C3,protein
CTSG,protein
CTSL,protein
ITGB2,protein
C3AR1,protein
CD46,receptor
CFI,protein
C4orf6,protein
CA2,protein
RBM12B,protein
YLPM1,protein
CACNA1H,protein
CACNA1I,protein
CACNA2D3,protein
CACTIN,protein
CAD,protein
TAX1BP1,protein
TRAF4,protein
CALM1,protein
IQGAP1,protein
FKBP8,protein
CALR,protein
PDIA2,protein
CAMK2A,protein
CAMK2B,protein
HNMT,protein
CAMK2D,protein
NR3C1,protein
CAMLG,protein
CAMP,protein
CTSK,protein
CTSS,protein
GAPDH,protein
IGF1R,protein
PRTN3,protein
VDR,protein
CAND1,protein
PTPN1,protein
CAPNS1,protein
CAPRIN1,protein
CAPZA1,protein
CAPZA2,protein
CAPZB,protein
CARD8,protein
CARD6,protein
PTCH1,protein
CSNK2A1,protein
CYBA,protein
VHL,protein
YWHAB,protein
IFT57,protein
IL37,cytokine
MEFV,protein
NLRC4,protein
NLRP1,protein
NLRP2,protein
NLRP3,protein
PAK1,protein
TRIM16L,protein
DEDD2,protein
CASP10,protein
XIAP,protein
CASP14,protein
CASP6,protein
CASP9,protein
COPS6,protein
GZMH,protein
GZMM,protein
HDAC7,protein
PTGES3,protein
RBX1,protein
CASP4,protein
CASP5,protein
IL33,cytokine
CASP7,protein
CFLAR,protein
ILK,protein
IRF5,protein
SPARC,protein
TNFRSF10A,receptor
TNFSF10,protein
TRADD,protein
CAT,protein
TLR10,receptor
CAV1,protein
LRP6,protein
CD33,receptor
CBL,protein
VAV1,protein
CBLB,protein
CBS,protein
CBX3,protein
CC2D1A,protein
EIF2AK2,protein
CCDC130,protein
ENSG00000159186,protein
CCDC149,protein
USO1,protein
SARM1,protein
CCDC50,protein
UBC,protein
CCDC6,protein
EPHB4,protein
CCDC71L,protein
CHCHD3,protein
KRT17,protein
KRT6A,protein
PKN1,protein
TCEANC,protein
CCDC88A,protein
CCDC94,protein
CCKBR,protein
CCR8,receptor
CCL1,cytokine
CCR2,receptor
CCR3,receptor
CCR5,receptor
PPARG,protein
MMP12,protein
JUN,protein
CCL16,cytokine
CCR4,receptor
CCL17,cytokine
EEF1A1,protein
TLE1,protein
CCL22,cytokine
CCR10,receptor
CCR7,receptor
CCRL2,protein
CCL19,cytokine
CCR1,receptor
KLF6,protein
VCAN,protein
CCL20,cytokine
CTSB,protein
CTSD,protein
CCL23,cytokine
CCL24,cytokine
CCL26,cytokine
CEBPB,protein
POLR2F,protein
PIGR,protein
MMP2,protein
CCM2,protein
SKP2,protein
CCNB1,protein
FOXM1,protein
CCND1,protein
JUNB,protein
JUND,protein
SLC30A9,protein
STAT5B,protein
TCF4,protein
CCND2,protein
SETD1A,protein
CCNG1,protein
CCNG2,protein
CCNH,protein
CCNK,protein
CDK13,protein
CDK11A,protein
CCNT1,protein
CCP110,protein
CREB3,protein
DEFB4A,protein
TLR2,receptor
YWHAQ,protein
CCT5,protein
CD14,receptor
LBP,protein
LTF,protein
LYN,protein
TLR3,receptor
CXCR4,receptor
CD180,receptor
CD19,receptor
LILRB2,protein
TRBC2,protein
TRGC1,protein
LGALS1,protein
CD200,receptor
CD22,receptor
SH2D1A,protein
NCR1,protein
SYK,protein
ZAP70,protein
CD248,receptor
CD24P4,protein
CD274,receptor
CD300LB,protein
TYROBP,protein
CRKL,protein
LEP,protein
MUC2,protein
PTPN11,protein
CD36,receptor
WNT1,protein
CLEC7A,protein
CD38,receptor
IKZF1,protein
CD3G,protein
CD4,receptor
PIP,protein
HSPA8,protein
IL4R,receptor
JAK3,protein
KPNA1,protein
KPNB1,protein
TAB2,protein
TNFSF13B,protein
TRAF3IP2,protein
EGR3,protein
ITGA5,protein
NFATC2,protein
PTBP1,protein
CD9,receptor
GOPC,protein
STK39,protein
SIRPA,protein
CD5,receptor
CD63,receptor
CD68,receptor
KCNH8,protein
CD69,receptor
CD70,receptor
CD72,receptor
CTLA4,protein
CD81,receptor
LST1,protein
CD82,receptor
CD83,receptor
CDC25A,protein
PIN1,protein
CDC34,protein
CHUK,protein
CDC37,protein
RIPK3,protein
PAK3,protein
PARD6A,protein
PARD6B,protein
PARD6G,protein
PRKCI,protein
STAU1,protein
CDC42EP1,protein
CDC73,protein
FGG,protein
CDCA2,protein
CDCA8,protein
FOXQ1,protein
HECW2,protein
MET,protein
PIP5K1C,protein
PSEN1,protein
SIX1,protein
SNAI2,protein
CDH12,protein
CDH16,protein
CDH2,protein
DUSP26,protein
CDH24,protein
CDH3,protein
CDH5,protein
NLRX1,protein
DAB2,protein
CDK1,protein
IL16,cytokine
CDK4,protein
NFKB2,protein
CDK5R1,protein
CDK6,protein
RECQL,protein
CDK7,protein
CDK8,protein
CDKN1A,protein
CDK9,protein
IFIT1,protein
IFIT2,protein
RSAD2,protein
EHMT2,protein
ELK1,protein
HNRNPK,protein
INO80,protein
INPP5D,protein
PCNA,protein
TOP3A,protein
ZNF148,protein
YWHAH,protein
CDKN1C,protein
CDKN2A,protein
CDKN2B,protein
KLF5,protein
PML,protein
RARA,protein
CDKN3,protein
CDR2,protein
CDV3,protein
CDX2,protein
CEACAM1,protein
HAVCR2,protein
CEACAM3,protein
CSF2RB,protein
CSF3,cytokine
CSF3R,protein
CTNNA1,protein
EPHX1,protein
ITGAX,protein
MIR223,protein
NFYA,protein
NQO2,protein
SMARCA2,protein
TLR9,receptor
CSF1R,protein
CSH1,protein
CYP3A4,protein
DUSP1,protein
GABPA,protein
HES1,protein
HOMER3,protein
IGFBP1,protein
IGFBP3,protein
IL12B,protein
IL18BP,protein
IL4,cytokine
INHBE,protein
MMP13,protein
PRG2,protein
SLC19A1,protein
SUMO1,protein
CLIC4,protein
CNTNAP5,protein
CRP,protein
CTNNAL1,protein
CYP19A1,protein
DNAJC18,protein
DNMT1,protein
DNMT3A,protein
DNMT3B,protein
ENSG00000125695,protein
ESR1,protein
FRAT1,protein
GPD1L,protein
HDAC4,protein
HIST2H3C,protein
HOXB4,protein
IGSF22,protein
ING4,protein
IRGQ,protein
JAG1,protein
LBR,protein
LDLR,protein
LTBP1,protein
MAFB,protein
MLF1,protein
MPDZ,protein
MPP6,protein
MSRB3,protein
NF2,protein
OMA1,protein
PDE3B,protein
PGRMC1,protein
PLCB1,protein
PTGS2,protein
PTTG1,protein
RHNO1,protein
RNF144B,protein
SCN4B,protein
SLC1A5,protein
SLITRK5,protein
SOD1,protein
SOSTDC1,protein
SOX2,protein
SPEN,protein
TBRG1,protein
TMBIM6,protein
TOP2A,protein
TRPM2,protein
TSLP,protein
TXNDC11,protein
ULBP2,protein
USP50,protein
ZEB1,protein
ZNF510,protein
ZNF600,protein
ZNF721,protein
CEBPG,protein
CEBPZ,protein
CELF1,protein
CELSR3,protein
CENPE,protein
LAG3,protein
CFAP44,protein
FOXO3,protein
KLK1,protein
MIR146A,protein
LCP1,protein
RAD21,protein
FAS,protein
COPS5,protein
CTCF,protein
MYO5B,protein
NEDD4,protein
RAB11A,protein
RAB27A,protein
SLC26A3,protein
SLC4A7,protein
SLC9A3R2,protein
STX8,protein
VTI1B,protein
CGREF1,protein
CHAC1,protein
CHD1,protein
CHD3,protein
MTA1,protein
CHD8,protein
CHEK1,protein
CHIC2,protein
CHMP2B,protein
CHP1,protein
CHP2,protein
CHRD,protein
CHRM1,protein
CHRM5,protein
CHRNA2,protein
CSF2RA,protein
CUEDC2,protein
DNAJA3,protein
EBAG9,protein
ETS1,protein
FANCA,protein
H3F3A,protein
HSPA1B,protein
HSPB1,protein
HSPD1,protein
IKBKE,protein
IRS1,protein
MAP3K1,protein
MAP3K11,protein
MAP3K8,protein
MIR16-1,protein
MLST8,protein
NCOA3,protein
NLRC5,protein
PPM1B,protein
PRKCQ,protein
PRKRA,protein
PYDC1,protein
SASH1,protein
TNFAIP3,protein
TRIM27,protein
TRIO,protein
TRPC4AP,protein
PRKDC,protein
CIDEC,protein
CIR1,protein
EPOR,protein
GHR,protein
IL2RB,receptor
MIR98,protein
CISH,protein
PRLR,protein
CLDN12,protein
CLDN3,protein
CLDN5,protein
CLEC1B,protein
CLEC6A,protein
ENSG00000173366,protein
CLIC5,protein
CLINT1,protein
CLIP1,protein
CLK2,protein
FADS2,protein
CLPX,protein
CLU,protein
CLUAP1,protein
CMPK1,protein
EMD,protein
CNOT8,protein
TLR4,receptor
TRAF5,protein
NFYB,protein
NFYC,protein
COL14A1,protein
DDR1,protein
COL1A1,protein
COL1A2,protein
COL4A5,protein
DUSP14,protein
HIST1H2AE,protein
HIST1H2BB,protein
MRM1,protein
TAF15,protein
COPB1,protein
COPS3,protein
COPS2,protein
GPS1,protein
RORA,protein
CORO1A,protein
NR1H2,protein
CPNE6,protein
CPSF2,protein
CPSF6,protein
WWP1,protein
IFNA1,cytokine
RBPJ,protein
CRTC3,protein
CSMD3,protein
DBR1,protein
DCC,protein
DHTKD1,protein
DLD,protein
DLX5,protein
DLX6,protein
DTWD1,protein
EME1,protein
ERAS,protein
FAM227B,protein
FANCD2,protein
GMFB,protein
GREB1L,protein
HIST1H2BC,protein
HIST1H4H,protein
HOXD13,protein
HOXD3,protein
HOXD4,protein
ID1,protein
IL1RAPL1,receptor
IL2,cytokine
INTS2,protein
IRX1,protein
KAT2B,protein
KAT8,protein
KIR3DL1,protein
LGI2,protein
LIAS,protein
LRPAP1,protein
MAF,protein
MAPKBP1,protein
ME3,protein
MEIS1,protein
MIER3,protein
MKL1,protein
MMP25,protein
MRPL27,protein
MSL3,protein
MUC5B,protein
MYRIP,protein
NR4A2,protein
ORMDL3,protein
PCSK1N,protein
PIH1D2,protein
PLIN3,protein
PMAIP1,protein
PRDM8,protein
R3HDM1,protein
RAB4B,protein
RFX2,protein
RPL9,protein
SEC61A2,protein
SETD9,protein
SLC2A11,protein
SLU7,protein
TRH,protein
ZIC5,protein
ZNF425,protein
ZNF524,protein
ZNF665,protein
ZNF677,protein
ZRANB3,protein
TSPO,protein
CREB3L2,protein
CRELD2,protein
CSF2,cytokine
CREM,protein
CRIPT,protein
FCN2,protein
CRYM,protein
SPI1,protein
HNRNPC,protein
SDC2,protein
SOCS3,protein
CSK,protein
CSNK1G2,protein
GCH1,protein
MECOM,protein
CSNK2B,protein
TAF7,protein
CSPG4,protein
CSTB,protein
CSTF2,protein
PNN,protein
ZBP1,protein
CTBP2,protein
ZMYND10,protein
CTCFL,protein
ERBB2,protein
FGF20,protein
HNRNPA2B1,protein
HNRNPM,protein
LDHB,protein
PKD1,protein
RPLP2,protein
SDCBP,protein
SNRPD1,protein
SOX17,protein
SPN,protein
TCF7L2,protein
WDHD1,protein
NFKBIL1,protein
CTR9,protein
CTRL,protein
RARRES2,protein
CTTN,protein
PLCG2,protein
PPP1R15A,protein
DCUN1D1,protein
FBXO25,protein
FBXO27,protein
FBXO31,protein
FBXO4,protein
FBXO44,protein
FBXO6,protein
SARS2,protein
TRIM21,protein
ZC3HC1,protein
FEM1B,protein
GNB2L1,protein
LRR1,protein
KEAP1,protein
RAB40C,protein
SPSB2,protein
WSB1,protein
FBXW8,protein
CUL7,protein
CUX2,protein
CX3CR1,protein
CX3CL1,protein
CXCL10,cytokine
PIAS1,protein
CXCL11,cytokine
CXCL2,cytokine
CXCL3,cytokine
CXCL5,cytokine
CXCL6,cytokine
CXCL9,cytokine
LASP1,protein
GTF3A,protein
PPBP,protein
ST13,protein
FTH1,protein
GNA11,protein
HADHA,protein
JAK2,protein
KTN1,protein
MOGS,protein
NPM1,protein
NRF1,protein
PIK3CG,protein
PLEC,protein
PPIA,protein
USF2,protein
NFATC3,protein
CXCR5,receptor
CYB5A,protein
KIAA0226,protein
ELF1,protein
CYBB,protein
HOXA9,protein
PLA2G4A,protein
CYCS,protein
CYLD,protein
MIR362,protein
RNF31,protein
TRPA1,protein
CYP1A1,protein
SIN3A,protein
CYP3A7,protein
CYP4F11,protein
CYP51A1,protein
CYTH1,protein
CYTIP,protein
DAB2IP,protein
DAK,protein
DAP,protein
